CERT,date,method,log_deposits,cash_ratio,loan_ratio,equity_ratio,prior_growth
288,2024-06-30,PCA,0.0027797580311706054,0.015808693240274847,0.21616142978308786,0.06007775925665131,0.7051723596888153
288,2024-09-30,PCA,0.0014327237851205863,0.03919374718978674,0.4622053329525941,0.21260269432819007,0.28456550174430856
289,2024-03-31,PCA,0.0009432578844689583,0.09792754011486131,0.2179740375282873,0.27872523106019076,0.40442993341219174
289,2024-06-30,PCA,0.0026465514168578534,0.1577970856207966,0.08282532026156651,0.19087750824380295,0.5658535344569761
289,2024-09-30,PCA,0.003028646390007211,0.21933680462231683,0.026099408800596805,0.24251717696187747,0.5090179632252018
291,2024-03-31,PCA,0.001984406494720802,0.5604459990523355,0.02190095576253485,0.04170186187108021,0.3739667768193287
291,2024-06-30,PCA,0.0029836557333729574,0.17441266382464793,0.022426859846476063,0.0775174959439216,0.7226593246515814
291,2024-09-30,PCA,0.0030481251395075145,0.14945001819913153,0.01979822084009589,0.03183703556191293,0.7958666002593522
292,2024-03-31,PCA,0.0010202295862804611,0.03334141063853395,0.2897349536775214,0.09015280659598619,0.5857505995016781
292,2024-06-30,PCA,0.0010217584430963602,0.0832161770186523,0.4139988542505597,0.2880862374236638,0.2136769728640278
292,2024-09-30,PCA,0.0012877357696356665,0.0705283443941353,0.17827462319826812,0.3319581839717114,0.41795111266624957
296,2024-03-31,PCA,0.0017601201692066222,0.05000581777667885,0.18478324694720602,0.27203175747318337,0.49141905763372495
296,2024-06-30,PCA,0.0012666790999385914,0.08647536737589542,0.2723585954943651,0.34161119032047627,0.29828816770932465
296,2024-09-30,PCA,0.0007006848496330969,0.07190023053553647,0.13267995107525743,0.3570609750463942,0.4376581584931789
297,2024-03-31,PCA,0.0011642447957859682,0.2020584437533288,0.5647193032004653,0.05235152489212782,0.1797064833582922
297,2024-06-30,PCA,0.0003734992028349896,0.24135546394700189,0.6219779849337828,0.07203647852303346,0.0642565733933469
297,2024-09-30,PCA,0.0011096981573208557,0.11507558263491278,0.3042077385303687,0.036855927486511876,0.5427510531908858
303,2024-03-31,PCA,0.00175848445992438,0.3586585266301336,0.2561654530104384,0.05095640236943194,0.3324611335300716
303,2024-06-30,PCA,0.0021768780073874684,0.27692652691075503,0.1666571961262885,0.063250178170966,0.49098922078460305
303,2024-09-30,PCA,0.002379170786900095,0.3255678686394225,0.19071584561963056,0.05038122539939796,0.4309558895546489
304,2024-03-31,PCA,0.001821660136764334,0.06378555592359382,0.05535409491815938,0.02350727423449433,0.8555314147869881
304,2024-06-30,PCA,0.003926120066453523,0.053405450402484074,0.0922818767037546,0.04498372397991123,0.8054028288473966
304,2024-09-30,PCA,0.002545456733298069,0.07113175080105447,0.1043455500357808,0.04715793921338335,0.7748193032164833
306,2024-03-31,PCA,0.0011405438023024557,0.28595748992035763,0.030978759534232042,0.1881837797786219,0.49373942696448586
306,2024-06-30,PCA,0.0009063859377051704,0.5187187616850367,0.09381910033703496,0.271302030556627,0.1152537214835961
306,2024-09-30,PCA,0.000945928873499694,0.5442815130254176,0.10532538345814928,0.22031560597797606,0.12913156866495748
307,2024-03-31,PCA,0.002174080546850275,0.33667386415949746,0.30170841838631385,0.01867891590667795,0.34076472100066046
307,2024-06-30,PCA,0.0019124871236838848,0.26323886729112095,0.20427588873389527,0.01973689664713456,0.5108358602041654
307,2024-09-30,PCA,0.003427150677949391,0.2740044971157226,0.07864986323502252,0.013742443076657038,0.6301760458946485
314,2024-03-31,PCA,0.0004348044490703617,0.6146038402266171,0.10143296156058082,0.010127795877848695,0.27340059788588306
314,2024-06-30,PCA,0.00033760819906785447,0.8169029251075721,0.14090785912138315,0.010067114600058342,0.03178449297191846
314,2024-09-30,PCA,0.0004058901449712783,0.7701737372693409,0.1811452318189756,0.009688916268102912,0.038586224498609344
321,2024-03-31,PCA,0.0022158783050017236,0.028446480517278615,0.08174413753266511,0.24313109195767574,0.6444624116873788
321,2024-06-30,PCA,0.0029142654701355417,0.08595198599701948,0.05922439072208599,0.3766794852606762,0.4752298725500828
321,2024-09-30,PCA,0.0011849707347705118,0.04593845882359336,0.04745256792660693,0.36311139784860735,0.542312604666422
324,2024-03-31,PCA,0.001093201550397578,0.6467353163117592,0.08692958729106376,0.018781052686546156,0.2464608421602334
324,2024-06-30,PCA,0.002403421116921327,0.5320601166991674,0.064904794898496,0.04529641341343225,0.35533525387198306
