FAILDATE,CERT,RESTYPE,NAME,ID
4/23/2010,22853.0,FAILURE,BROADWAY BANK,3786
4/23/2010,30600.0,FAILURE,LINCOLN PARK SAVINGS BANK,3787
4/23/2010,34658.0,FAILURE,CITIZENS BANK & TRUST COMPANY OF CHICAGO,3788
4/23/2010,34821.0,FAILURE,NEW CENTURY BANK,3789
4/23/2010,58429.0,FAILURE,WHEATLAND BANK,3790
4/16/2010,21521.0,FAILURE,CITY BANK,3776
4/16/2010,23876.0,FAILURE,INNOVATIVE BANK,3777
4/16/2010,24067.0,FAILURE,RIVERSIDE NATIONAL BANK OF FLORIDA,3778
4/16/2010,26619.0,FAILURE,BUTLER BANK,3779
4/16/2010,28886.0,FAILURE,FIRST FEDERAL BANK OF NORTH FLORIDA,3780
4/16/2010,33493.0,FAILURE,TAMALPAIS BANK,3781
4/16/2010,34878.0,FAILURE,LAKESIDE COMMUNITY BANK,3782
4/16/2010,57724.0,FAILURE,AMERICANFIRST BANK,3783
4/9/2010,34242.0,FAILURE,BEACH FIRST NATIONAL BANK,3775
3/26/2010,34678.0,FAILURE,UNITY NATIONAL BANK,3771
3/26/2010,34684.0,FAILURE,KEY WEST BANK,3772
3/26/2010,57060.0,FAILURE,DESERT HILLS BANK,3773
3/26/2010,57399.0,FAILURE,MCINTOSH COMMERCIAL BANK,3774
3/19/2010,8221.0,FAILURE,STATE BANK OF AURORA,3764
3/19/2010,10054.0,FAILURE,BANK OF HIAWASSEE,3765
3/19/2010,18806.0,FAILURE,AMERICAN NATIONAL BANK,3766
3/19/2010,24957.0,FAILURE,FIRST LOWNDES BANK,3767
3/19/2010,33535.0,FAILURE,ADVANTA BANK CORP.,3768
3/19/2010,33989.0,FAILURE,APPALACHIAN COMMUNITY BANK,3769
3/19/2010,58104.0,FAILURE,CENTURY SECURITY BANK,3770
3/12/2010,27096.0,FAILURE,THE PARK AVENUE BANK,3761
3/12/2010,29561.0,FAILURE,STATEWIDE BANK,3762
3/12/2010,58182.0,FAILURE,OLD SOUTHERN BANK,3763
3/11/2010,58071.0,FAILURE,LIBERTYPOINTE BANK,3760
3/5/2010,9268.0,FAILURE,BANK OF ILLINOIS,3756
3/5/2010,27126.0,FAILURE,SUN AMERICAN BANK,3757
3/5/2010,34430.0,FAILURE,CENTENNIAL BANK,3758
3/5/2010,34976.0,FAILURE,WATERFIELD BANK,3759
2/26/2010,38129.0,FAILURE,RAINIER PACIFIC BANK,3754
2/26/2010,58352.0,FAILURE,CARSON RIVER COMMUNITY BANK,3755
2/19/2010,3287.0,FAILURE,THE LA COSTE NATIONAL BANK,3750
2/19/2010,29952.0,FAILURE,GEORGE WASHINGTON SAVINGS BANK,3751
2/19/2010,32423.0,FAILURE,"LA JOLLA BANK, FSB",3752
2/19/2010,57586.0,FAILURE,MARCO COMMUNITY BANK,3753
2/5/2010,15448.0,FAILURE,1ST AMERICAN STATE BANK OF MINNESOTA,3749
1/29/2010,5672.0,FAILURE,FLORIDA COMMUNITY BANK,3743
1/29/2010,5702.0,FAILURE,COMMUNITY BANK & TRUST,3744
1/29/2010,16133.0,FAILURE,"MARSHALL BANK, NATIONAL ASSOCIATION",3745
1/29/2010,16480.0,FAILURE,FIRST NATIONAL BANK OF GEORGIA,3746
